--- INTERNET ARCHIVE: shipbuilding (9340 total) ---
  Tidewater Marine, L.L.C. v. Bay Shipbuilding Company | unknown | https://archive.org/details/gov.uscourts.nysd.431525
  Government and shipbuilding : the politics of industrial change | Hogwood, Brian W | https://archive.org/details/governmentshipbu0000hogw
  Navy Force Structure and Shipbuilding Plans: Background and Issues for Congress; June 10, 2019 | unknown | https://archive.org/details/6151191-Navy-Force-Structure-and-Shipbuilding-Plans
  Industry profile : shipbuilding and ship repair | unknown | https://archive.org/details/micro_IA40243221_2474
  Loughton v. National Steel and Shipbuilding Company | unknown | https://archive.org/details/gov.uscourts.cand.220157
  CIA Reading Room cia-rdp80t00246a027300440001-0: (SANITIZED)SOVIET SHIPBUILDING INDUSTRY(SANITIZED) | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp80t00246a027300440001-0
  CIA Reading Room cia-rdp80-00809a000600280363-8: METAL AND CONSTRUCTION MATERIALS INDUSTRIES BEING EXPANDED | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600280363-8
  All about ... the Industrial revolution | Hepplewhite, Peter, author | https://archive.org/details/allaboutindustri0000hepp_v3t5
  CIA Reading Room cia-rdp97-00770r000100670001-9: INTERNATIONAL ECONOMIC & ENERGY WEEKLY | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp97-00770r000100670001-9
  CIA Reading Room cia-rdp80-00809a000600230517-3: ECONOMIC - REGIONAL PLANNING | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600230517-3
  White v. International Union of Marine and Shipbuilding Workers of America Local 25 | unknown | https://archive.org/details/gov.uscourts.mad.139161
  CIA Reading Room cia-rdp80-00809a000600050295-0: STAFF DISTRIBUTION AND WORK REGIME IN THE MERCHANT AND RIVER FLEET IN THE USSR | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp80-00809a000600050295-0
  Feltner v. Newport News Shipbuilding Employees' Credit Union, Inc. | unknown | https://archive.org/details/gov.uscourts.vaed.500983
  USA - YN 122 MS Gulfbird Structural Plans (1928) | Furness Shipbuilding Co Ltd, Haverton Hill-On-Tees, Durham | https://archive.org/details/yn122sp1928
  USA - YN 123 MS Western Sun General Arrangement (1929) | Sun Shipbuilding & Dry Dock Co, Chester, Pennsylvania | https://archive.org/details/yn123ga1929
  GBR - YN 344 SS Empire Grenadier Structural Plans (1942) | Furness Shipbuilding Co Ltd, Haverton Hill-On-Tees, Durham | https://archive.org/details/yn344sp1942
  Flying with the Larks : Britain's Early Aviation Pioneers of Larkhill | Brown, Timothy | https://archive.org/details/flyingwithlarksb0000brow
  CIA Reading Room cia-rdp84-00898r000300050006-3: INTERNATIONAL ECONOMIC & ENERGY WEEKLY 12 AUGUST 1983 | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp84-00898r000300050006-3
  Transactions | Institution of Engineers and Shipbuilders in Scotland. [from old catalog] | https://archive.org/details/transactionsins27scotgoog
  The suitability of Award Fee contracts for the Israeli Ministry of Defense (MOD). | Givaty, Eidit | https://archive.org/details/thesuitabilityof1094528579
  CIA Reading Room cia-rdp79s01046a000200050008-7: TRANSMISSION OF DRAFT REPORT, CH/E PROJECT NO. 35.247 TITLE: INTERIM STUDY OF USSR SHIPYARDS IN ECONOMIC REGION III | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp79s01046a000200050008-7
  Hong Kong Daily Press 1920-10-21 | unknown | https://archive.org/details/NPDP19201021
  CIA Reading Room cia-rdp93t00643r000200800001-8: JAPAN: ARMING WITH AEGIS? | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp93t00643r000200800001-8
  USA - USSB 216033 SS Sabine Sun Structural Plans (1918) | Sun Shipbuilding & Dry Dock Co, Chester, Pennsylvania | https://archive.org/details/ussb216033ga1918
  CIA Reading Room cia-rdp62s00231a000100210027-2: MONTHLY REPORT FOR SEPTEMBER 1959 | CIA Reading Room | https://archive.org/details/cia-readingroom-document-cia-rdp62s00231a000100210027-2

--- INTERNET ARCHIVE: naval+architecture (6903 total) ---
  OPERATIONAL ANALYSIS AND EARLY-STAGE DESIGN FOR NEXT GENERATION MCM THROUGH DIGITAL ENGINEERING | Lenzi, Allison F. | https://archive.org/details/operationalanaly1094565390
  Assessing the threat : the Chinese military and Taiwan's security | unknown | https://archive.org/details/assessingthreatc0000unse
  A distributed password scheme for network operating systems | Roth, Christopher | https://archive.org/details/adistributedpass109455847
  Political and military challenges of the Republic of Moldova in the context of security in the Black Sea Basin | Cisleanu, Radu Constantin | https://archive.org/details/politicalndmilit1094544538
  A model for communications satellite system architecture assessment | Gerhart, Charlotte M. | https://archive.org/details/amodelforcommuni109455594
  Preliminary turbine design for thermal cycle feasibility. | Potter, David Arthur. | https://archive.org/details/preliminaryturbi00pott
