--- OPEN LIBRARY: shipbuilding (6763 total) ---
  Atomic shipbuilding program. | United States. Congress. House. Committee on Merchant Marine and Fisheries | 1959 | https://openlibrary.org/works/OL16031516M
  Shipbuilding and marine engineering in Japan. | unknown | 1993 | https://openlibrary.org/works/OL19850471M
  The shipbuilding market | unknown | 1995 | https://openlibrary.org/works/OL20189667M
  Shipbuilding for beginners | Andrew Williams Carmichael | 1918 | https://openlibrary.org/works/OL16780898W
  Shipbuilding and Repairing | Rand McNally | 1988 | https://openlibrary.org/works/OL14903156W
  Wooden ship-building | Charles Desmond | 1919 | https://openlibrary.org/works/OL5357890W
  Venetian ships and shipbuilders of the Renaissance | Frederic Chapin Lane | 1934 | https://openlibrary.org/works/OL1209368W
  The Law of shipbuilding contracts | Simon Curtis | 1991 | https://openlibrary.org/works/OL9014723W
  The shipbuilding industry | Roy Willmarth Kelly | 1918 | https://openlibrary.org/works/OL4419336W
  The world shipbuilding industry | Daniel Todd | 1983 | https://openlibrary.org/works/OL3239760W
  Promotion of automatic welding in shipbuilding. | unknown | 1966 | https://openlibrary.org/works/OL21406522M
  The shipbuilding industry | David H. Pollock | 1905 | https://openlibrary.org/works/OL6724106W
  The Shipbuilders | George Blake | 1972 | https://openlibrary.org/works/OL4129964W
  The shipbuilders | Leonard Everett Fisher | 1971 | https://openlibrary.org/works/OL14865768W
  The Ship-Builder's Manual | John Willis Griffiths | 1853 | https://openlibrary.org/works/OL24465440W
  Ships and shipbuilding | John Anthony Hind | 1959 | https://openlibrary.org/works/OL12907017W
  Shipbuilding in the United Kingdom | Hugh Murphy | 2020 | https://openlibrary.org/works/OL25763649W
  U.S. shipping and shipbuilding | Peter T. Tarpgaard | 1984 | https://openlibrary.org/works/OL5462514W
  Report of joint inquiry into foreign competition & conditions in the shipbuilding industry | unknown | 1926 | https://openlibrary.org/works/OL19344128M
  The Caledon Shipbuilding & Engineering Co. Ltd., Dundee | Caledon Shipbuilding & Engineering Co. Limited. | 1930 | https://openlibrary.org/works/OL10760173W
  Transactions of the Institution of Engineers and Shipbuilders in Scotland | Institution of Engineers and Shipbuilders in Scotland | 1881 | https://openlibrary.org/works/OL13104023W
